141=, NEWCASTLE UNIVERSITY
144, RHEINISCH-WESTFÄLISCHE TECHNISCHE HOCHSCHULE AACHEN
145, CARDIFF UNIVERSITY
146, MCMASTER UNIVERSITY
147, TECHNISCHE UNIVERSITÄT BERLIN
148, EMORY UNIVERSITY
149=, UNIVERSITÉ DE MONTRÉAL
149=, UNIVERSITY OF LAUSANNE
151=, HANYANG UNIVERSITY
151=, UNIVERSITY OF LIVERPOOL
153, ÉCOLE NORMALE SUPÉRIEURE DE LYON
154=, HEBREW UNIVERSITY OF JERUSALEM
154=, UNIVERSITY OF EXETER
156=, POLITECNICO DI MILANO
156=, UNIVERSITY OF MINNESOTA
158, UNIVERSITY OF BATH
159, UNIVERSIDAD AUTÓNOMA DE MADRID
160=, UNIVERSITY OF BASEL
160=, UNIVERSITY OF TECHNOLOGY SYDNEY
162, INDIAN INSTITUTE OF TECHNOLOGY BOMBAY
163=, NATIONAL TSING HUA UNIVERSITY
163=, UNIVERSITY OF WATERLOO
165, UNIVERSITÉ CATHOLIQUE DE LOUVAIN
166, UNIVERSITAT DE BARCELONA
167, SCUOLA SUPERIORE SANT'ANNA PISA
168, EBERHARD KARLS UNIVERSITÄT TÜBINGEN
169, UNIVERSITY OF CALIFORNIA AT IRVINE
170, INDIAN INSTITUTE OF SCIENCE BANGALORE
171, UNIVERSITY OF BERGEN
172=, INDIAN INSTITUTE OF TECHNOLOGY DELHI
172=, UNIVERSITY OF ABERDEEN
172=, UNIVERSITY OF TWENTE
175=, SCUOLA NORMALE SUPERIORE DI PISA
175=, UNIVERSITÄT WIEN
175=, UNIVERSITY OF OTAGO
178, TECNOLÓGICO DE MONTERREY
179, ERASMUS UNIVERSITY ROTTERDAM
180=, QUEEN'S UNIVERSITY OF BELFAST
180=, UNIVERSITÀ DI BOLOGNA
180=, UNIVERSITY OF FLORIDA
183, DARTMOUTH COLLEGE
184=, UNIVERSITI KEBANGSAAN MALAYSIA
184=, UNIVERSITY OF ROCHESTER
186=, CASE WESTERN RESERVE UNIVERSITY
186=, UNIVERSITÄT FREIBURG
188, VRIJE UNIVERSITEIT BRUSSEL
189, KING FAHD UNIVERSITY OF PETROLEUM & MINERALS
190, UNIVERSITY OF COLORADO AT BOULDER
191, TECHNISCHE UNIVERSITÄT DRESDEN
192, UNIVERSITY OF VIRGINIA
193=, UNIVERSITAT AUTÓNOMA DE BARCELONA
193=, UNIVERSITY COLLEGE DUBLIN
195=, UNIVERSITY OF READING
195=, VANDERBILT UNIVERSITY
197, GEORG-AUGUST-UNIVERSITÄT GÖTTINGEN
198, KEIO UNIVERSITY
199, TECHNISCHE UNIVERSITÄT WIEN
200=, STOCKHOLM UNIVERSITY
